City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind,Country,Date
qaqortoq,60.7167,-46.0333,44.6,29,90,36.82,GL,1613183069
alekseyevsk,57.8406,108.3492,-14.22,86,93,3.87,RU,1613183069
faridpur,23.6,89.8333,66.2,94,40,4.41,BD,1613183070
gat,31.61,34.7642,53.01,100,0,2.17,IL,1613183044
vila,42.0304,-8.1588,44.01,94,100,3.0,PT,1613183070
longyearbyen,78.2186,15.6401,12.2,73,75,19.57,SJ,1613183070
kankon,15.0167,74.0167,71.6,68,20,3.44,IN,1613183070
dourbali,11.8091,15.8632,68.49,27,0,8.23,TD,1613183070
huanren,41.2647,125.3667,36.91,81,96,3.42,CN,1613183070
qasigiannguit,68.8193,-51.1922,8.6,78,75,3.0,GL,1613183071
puerto colombia,10.9878,-74.9547,78.8,83,0,11.5,CO,1613183071
goderich,43.7501,-81.7165,12.2,79,93,6.91,CA,1613182931
kulevcha,46.0303,29.9361,16.88,87,100,18.84,UA,1613183071
narsaq,60.9167,-46.05,44.6,29,90,36.82,GL,1613183071
bernay,49.1667,0.6667,24.01,75,0,5.01,FR,1613183071
vila velha,-20.3297,-40.2925,77.0,88,20,5.75,BR,1613183071
zapolyarnyy,69.4154,30.8136,1.4,85,90,5.75,RU,1613183071
makakilo city,21.3469,-158.0858,78.8,57,1,5.75,US,1613183071
vao,-22.6667,167.4833,79.03,75,3,7.25,NC,1613183072
lorengau,-2.0226,147.2712,84.04,76,98,5.88,PG,1613183072
kodiak,57.79,-152.4072,35.6,75,90,14.97,US,1613182787
kigorobya,1.6162,31.3089,73.26,54,98,2.04,UG,1613183072
adrar,20.5022,-10.0711,63.7,22,0,10.63,MR,1613183072
quba,41.3626,48.5152,45.99,55,100,1.3,AZ,1613183072
tezu,27.9167,96.1667,71.38,22,22,0.98,IN,1613183072
muros,42.7762,-9.0603,57.0,74,100,17.0,ES,1613183072
cockburn town,21.4612,-71.1419,75.2,83,40,17.27,TC,1613182902
kurtalan,37.9272,41.7028,37.4,93,0,5.75,TR,1613183073
anchorage,61.2181,-149.9003,24.8,54,1,5.84,US,1613183073
fare,-16.7,-151.0167,81.97,72,22,10.29,PF,1613183073
black diamond,47.3087,-122.0032,28.0,68,100,3.0,US,1613183073
ossora,59.2353,163.0719,1.27,83,0,12.41,RU,1613183073
skibbereen,51.55,-9.2667,41.0,93,90,33.38,IE,1613183073
the pas,53.8251,-101.2541,-29.2,75,1,1.57,CA,1613183073
pundaguitan,6.3711,126.1689,80.85,78,100,4.09,PH,1613183074
jimenez,28.3333,-105.4,60.8,17,40,6.91,MX,1613183074
baikunthpur,23.25,82.55,61.0,36,0,3.27,IN,1613183074
dukat,62.55,155.55,-9.74,86,1,4.45,RU,1613183074
ancud,-41.8697,-73.8203,55.99,76,0,9.22,CL,1613183074
nenjiang,49.1833,125.2167,14.5,89,58,11.01,CN,1613183074
grindavik,63.8424,-22.4338,41.0,75,75,41.43,IS,1613183075
tonstad,58.6626,6.7169,19.0,85,0,2.3,NO,1613183075
takoradi,4.8845,-1.7554,80.38,86,27,7.74,GH,1613183075
najran,17.4924,44.1277,53.6,47,0,2.06,SA,1613183076
jacmel,18.2342,-72.5347,78.8,65,4,16.11,HT,1613183076
carutapera,-1.195,-46.02,79.38,84,100,8.86,BR,1613183076
constitucion,-35.3333,-72.4167,58.87,88,42,6.8,CL,1613183076
el bagre,7.5927,-74.8086,76.89,86,58,0.65,CO,1613183077
ahuimanu,21.4447,-157.8378,78.8,65,40,9.22,US,1613183077
alice,27.7523,-98.0697,41.0,93,90,11.5,US,1613183077
sept-iles,50.2001,-66.3821,17.6,57,90,3.44,CA,1613182858
codrington,-38.2667,141.9667,66.02,54,2,10.63,AU,1613183078
puerto del rosario,28.5004,-13.8627,64.4,77,90,16.11,ES,1613183078
ayan,56.45,138.1667,16.36,95,100,7.96,RU,1613183079
sassandra,4.95,-6.0833,77.86,91,0,6.29,CI,1613183080
bilma,18.6853,12.9164,67.42,21,0,5.14,NE,1613183080
kokoda,-8.8785,147.7407,85.75,60,50,2.33,PG,1613183080
henties bay,-22.116,14.2845,70.0,89,51,5.01,NA,1613183080
santa helena,-2.2311,-45.3,74.95,95,100,2.71,BR,1613183080
tavda,58.0425,65.2726,-3.1,91,100,6.73,RU,1613183080
maceio,-9.6658,-35.7353,75.2,94,75,2.3,BR,1613183080
bafoulabe,13.8065,-10.8321,77.85,17,0,2.71,ML,1613183081
kalabo,-14.97,22.6814,66.38,90,81,4.34,ZM,1613183081
xingcheng,40.6167,120.7167,38.25,85,100,1.25,CN,1613183081
gravdal,68.1214,13.5031,32.32,90,99,16.28,NO,1613183081
gayny,60.3071,54.3241,-1.25,93,100,5.82,RU,1613183081
los llanos de aridane,28.6585,-17.9182,64.4,68,0,10.36,ES,1613183081
richards bay,-28.783,32.0377,74.21,92,95,2.91,ZA,1613183081
tiarei,-17.5333,-149.3333,82.4,65,75,18.41,PF,1613183082
shenjiamen,29.9576,122.298,52.77,93,43,9.13,CN,1613183082
guerrero negro,27.9769,-114.0611,59.81,77,43,14.05,MX,1613183082
mongu,-15.2484,23.1274,66.43,92,96,3.74,ZM,1613183082
anloga,5.7947,0.8973,82.4,89,40,10.36,GH,1613183082
wanning,18.8003,110.3967,68.4,65,0,5.17,CN,1613183082
caboolture,-27.0833,152.95,90.0,60,81,3.51,AU,1613183082
kapit,2.0167,112.9333,79.48,90,99,1.14,MY,1613183082
usinsk,65.9939,57.5281,-17.19,88,100,2.84,RU,1613183082
pangody,65.85,74.4859,-25.13,86,100,3.96,RU,1613183083
whitehorse,60.7161,-135.0538,-11.2,77,1,3.44,CA,1613183083
kristiansund,63.1115,7.732,32.0,47,23,11.5,NO,1613183083
yenagoa,4.9247,6.2642,78.19,86,100,2.57,NG,1613183083
coquimbo,-29.9533,-71.3436,62.6,82,0,5.75,CL,1613183083
aktas,49.7789,72.9608,21.2,79,90,2.73,KZ,1613183083
gizo,-8.103,156.8419,83.71,73,67,8.84,SB,1613183083
srednekolymsk,67.45,153.6833,-21.33,84,0,5.95,RU,1613183083
fairbanks,64.8378,-147.7164,5.0,78,1,1.19,US,1613183084
dakar,14.6937,-17.4441,64.4,88,0,11.5,SN,1613183084
lompoc,34.6391,-120.4579,53.6,82,1,16.11,US,1613183084
warri,5.5167,5.75,78.3,87,100,0.63,NG,1613183084
asilah,35.465,-6.0348,48.2,100,75,3.44,MA,1613183084
opuwo,-18.0607,13.84,63.3,81,100,5.23,NA,1613183084
raga,8.4596,25.678,66.18,28,2,2.04,SS,1613183084
cherskiy,68.75,161.3,-20.25,81,0,1.23,RU,1613183084
okhotsk,59.3833,143.3,15.89,92,100,4.07,RU,1613182955
waingapu,-9.6567,120.2641,84.45,69,27,5.46,ID,1613183084
zhanaozen,43.3,52.8,42.76,74,0,19.46,KZ,1613182870
mitchell,43.7094,-98.0298,-0.4,55,75,8.05,US,1613183085
fort nelson,58.8053,-122.7002,-4.0,77,1,2.3,CA,1613183085
dubbo,-32.25,148.6167,78.8,69,75,6.91,AU,1613183085
nadym,65.5333,72.5167,-21.42,87,99,2.48,RU,1613183085
abu dhabi,24.4667,54.3667,64.4,94,90,1.14,AE,1613182848
nakamura,32.9833,132.9333,58.69,81,99,8.9,JP,1613183085
la libertad,-2.2333,-80.9,77.31,81,100,5.41,EC,1613183085
westport,41.1415,-73.3579,28.4,31,90,6.91,US,1613183033
le pradet,43.1066,6.0172,46.4,93,90,4.61,FR,1613183085
dire,12.2833,-10.9667,76.3,19,0,1.14,ML,1613183086
beloha,-25.1667,45.05,75.06,75,98,12.39,MG,1613183086
cooma,-36.2333,149.1333,64.4,63,75,13.8,AU,1613183086
taywarah,33.35,64.4167,30.24,79,0,1.97,AF,1613183086
dingle,10.9995,122.6711,83.28,75,57,5.66,PH,1613183086
honiara,-9.4333,159.95,81.95,81,100,7.83,SB,1613183086
mount gambier,-37.8333,140.7667,66.2,55,90,10.36,AU,1613182828
marystown,47.1666,-55.1483,26.85,93,0,20.15,CA,1613183086
weligama,5.9667,80.4167,75.13,85,38,2.37,LK,1613183086
sovetskiy,61.3614,63.5842,-8.91,91,100,3.24,RU,1613183087
yantongshan,43.2919,126.0094,34.23,93,27,5.23,CN,1613183087
nisia floresta,-6.0911,-35.2086,80.6,83,20,9.22,BR,1613183087
brae,60.3964,-1.353,37.4,52,90,24.16,GB,1613183087
kupang,-10.1667,123.5833,77.0,94,75,3.44,ID,1613183087
paralia,38.2,21.7,48.0,100,20,5.86,GR,1613183087
arcadia,34.1397,-118.0353,60.01,61,0,0.96,US,1613182865
bardiyah,31.7561,25.0865,55.22,75,0,5.77,LY,1613183087
nelson bay,-32.7167,152.15,73.99,100,90,16.11,AU,1613183087
berbera,10.4396,45.0143,72.77,72,90,4.7,SO,1613183088
stykkisholmur,65.0757,-22.7297,33.08,89,100,17.18,IS,1613183088
arawa,-6.2132,155.5367,85.28,73,99,6.02,PG,1613183089
hay river,60.8156,-115.7999,-16.6,69,2,3.44,CA,1613183089
kingman,35.1894,-114.053,46.99,57,1,4.61,US,1613183040
sao joaquim,-28.2939,-49.9317,56.97,100,100,1.77,BR,1613183089
yumen,40.2833,97.2,37.78,65,55,16.51,CN,1613183089
catemaco,18.4167,-95.1167,66.83,95,85,7.43,MX,1613183089
fukue,32.6881,128.8419,62.6,55,40,8.05,JP,1613183089
port lincoln,-34.7333,135.8667,68.27,59,32,8.61,AU,1613183089
bukama,-9.2,25.85,68.83,95,100,0.45,CD,1613183089
amboasary,-25.0333,46.3833,75.2,94,75,9.22,MG,1613183089
barra do garcas,-15.89,-52.2567,71.55,93,100,3.24,BR,1613182975
peleduy,59.6289,112.7406,-8.79,87,100,1.66,RU,1613183090
svetlyy,54.675,20.1347,30.0,86,75,6.71,RU,1613183090
la argentina,2.1961,-75.98,62.89,89,100,2.26,CO,1613183090
tanete,-3.9443,119.7848,85.6,61,100,5.08,ID,1613183090
praia,14.9215,-23.5087,69.8,73,0,21.85,CV,1613183090
chumphon,10.3333,98.8333,84.2,65,0,2.3,TH,1613183090
povenets,62.8487,34.8262,-3.77,91,85,6.38,RU,1613183091
namibe,-15.1961,12.1522,72.88,76,21,1.25,AO,1613183092
bonthe,7.5264,-12.505,77.74,87,0,4.09,SL,1613183092
santa marinella,42.0345,11.8536,39.99,96,100,7.36,IT,1613183092
monte alegre,-2.0078,-54.0692,75.88,94,100,4.79,BR,1613183092
roebourne,-20.7833,117.1333,84.81,56,46,8.59,AU,1613183093
dongsheng,39.8161,109.9776,34.45,68,100,2.39,CN,1613183093
kailua,21.4022,-157.7394,78.8,65,40,9.22,US,1613183093
lockport,41.5895,-88.0578,12.2,67,90,12.66,US,1613182901
lazarev,52.225,141.5131,18.93,97,100,0.51,RU,1613183093
sicamous,50.8331,-118.9856,8.6,61,16,2.3,CA,1613183094
agadez,19.75,10.25,61.47,27,0,11.41,NE,1613183094
hakui,36.8833,136.7833,60.8,41,40,12.66,JP,1613183094
pemangkat,1.1667,108.9667,80.37,81,98,11.16,ID,1613183094
dakoro,14.5106,6.765,68.86,20,0,11.41,NE,1613183094
homer,59.6425,-151.5483,34.0,69,75,5.75,US,1613183094
denpasar,-8.65,115.2167,86.0,70,20,10.36,ID,1613182930
maumere,-8.6199,122.2111,82.15,75,100,2.55,ID,1613183094
galle,6.0367,80.217,75.78,84,1,2.91,LK,1613182892
monrovia,6.3005,-10.7969,79.36,89,2,7.49,LR,1613183094
nador,35.174,-2.9287,60.8,59,0,19.57,MA,1613183094
the valley,18.217,-63.0578,77.0,78,40,13.8,AI,1613183094
saint-pierre,-21.3393,55.4781,78.8,65,0,12.66,RE,1613183095
neuquen,-38.9516,-68.0591,80.6,41,0,4.61,AR,1613182804
calabozo,8.9242,-67.4293,82.42,53,40,8.9,VE,1613183049
denizli,37.8402,29.0698,30.2,74,0,1.54,TR,1613183095
santarem,-2.4431,-54.7083,82.4,83,20,11.5,BR,1613183095
broome,42.2506,-75.833,15.8,48,90,5.75,US,1613183095
flinders,-34.5833,150.8552,71.01,84,100,5.99,AU,1613182894
pirovskoye,57.6267,92.2658,-19.88,87,100,6.22,RU,1613183095
umm lajj,25.0213,37.2685,73.96,63,0,10.85,SA,1613183096
tabas,33.5959,56.9244,42.8,28,0,4.61,IR,1613183096
ust-tsilma,65.441,52.1498,-9.4,89,89,2.21,RU,1613183096
shebalino,51.2917,85.6772,1.92,84,30,3.76,RU,1613183096
port-gentil,-0.7193,8.7815,81.7,79,100,10.58,GA,1613183096
port-cartier,50.0334,-66.8654,17.6,57,90,3.44,CA,1613183096
seymchan,62.8833,152.4333,-9.49,87,100,0.94,RU,1613183096
manadhoo,5.7667,73.3833,80.6,66,100,10.6,MV,1613183097
severo-yeniseyskiy,60.3725,93.0408,-22.27,88,100,4.03,RU,1613183097
macae,-22.3708,-41.7869,77.0,94,0,5.75,BR,1613183097
concarneau,47.875,-3.9225,33.8,69,90,9.22,FR,1613183097
sao filipe,14.8961,-24.4956,72.75,63,0,13.82,CV,1613183097
biak,-0.9131,122.8766,77.29,86,100,8.86,ID,1613183097
kununurra,-15.7667,128.7333,93.2,55,40,9.22,AU,1613183097
monte carmelo,-18.7247,-47.4986,65.68,95,100,2.35,BR,1613183098
puntarenas,9.9763,-84.8384,71.6,73,40,8.05,CR,1613183098
poum,-20.2333,164.0167,80.55,72,0,9.08,NC,1613183098
mandan,46.8267,-100.8896,-9.4,76,75,4.61,US,1613183098
bemidji,47.4736,-94.8803,-20.0,75,1,2.15,US,1613183091
defiance,41.3334,-84.45,23.0,63,1,3.85,US,1613183098
bongandanga,1.5,21.05,74.7,52,82,0.11,CD,1613183098
tarko-sale,64.9225,77.785,-29.29,83,96,1.66,RU,1613183098
uribia,11.7139,-72.266,77.97,73,0,17.83,CO,1613183098
natal,-5.795,-35.2094,80.6,83,20,9.22,BR,1613183099
ibra,22.6906,58.5334,55.56,77,0,1.54,OM,1613183099
kerchevskiy,59.946,56.2884,3.6,95,100,3.04,RU,1613183099
forestville,38.8451,-76.875,30.2,69,90,5.75,US,1613183099
wanaka,-44.7,169.15,71.13,36,71,7.23,NZ,1613183099
belgrade,44.804,20.4651,19.0,79,0,5.75,RS,1613183099
kangaatsiaq,68.3065,-53.4641,6.19,89,0,9.57,GL,1613183099
omaruru,-21.4333,15.9333,63.9,88,100,6.08,NA,1613183099
catalao,-18.1658,-47.9464,65.43,99,100,2.21,BR,1613183099
sungaipenuh,-2.0833,101.3833,74.03,75,85,1.05,ID,1613183099
mikumi,-7.4041,36.9831,68.92,93,100,3.71,TZ,1613183100
asau,46.4333,26.4,16.0,43,0,7.85,RO,1613183100
slave lake,55.2834,-114.769,-7.6,84,1,2.3,CA,1613183100
petauke,-14.2426,31.3253,64.22,99,100,8.01,ZM,1613183100
george town,5.4112,100.3354,84.99,69,20,9.22,MY,1613182819
parker,32.7668,-97.8003,24.01,79,15,5.01,US,1613183100
balkanabat,39.5108,54.3671,57.27,37,0,13.85,TM,1613183100
sakaiminato,35.55,133.2333,57.2,51,40,4.61,JP,1613183100
charqueadas,-29.9547,-51.6253,73.4,100,90,2.3,BR,1613183100
dolores,-36.3132,-57.6792,65.52,95,100,6.22,AR,1613183100
ostrovnoy,68.0531,39.5131,0.23,91,100,6.71,RU,1613183101
ussel,45.55,2.3167,34.0,97,8,1.99,FR,1613183101
marsh harbour,26.5412,-77.0636,75.15,82,74,14.45,BS,1613183101
udachnyy,66.4167,112.4,-20.61,79,100,1.79,RU,1613183050
hofn,64.2539,-15.2082,40.66,73,100,20.24,IS,1613183101
sorland,67.667,12.6934,35.42,82,100,17.9,NO,1613183101
harrisonburg,38.4496,-78.8689,30.99,98,100,1.79,US,1613183009
tahta,26.7693,31.5021,57.2,51,0,6.91,EG,1613183101
podporozhye,60.9112,34.1706,-9.85,90,18,1.01,RU,1613183102
price,39.5994,-110.8107,39.2,70,90,5.75,US,1613183102
unecha,52.8459,32.6739,6.01,95,100,13.33,RU,1613183102
ueckermunde,53.7379,14.0447,24.01,92,81,1.01,DE,1613183102
beringovskiy,63.05,179.3167,-11.58,88,100,28.03,RU,1613183102
kirkenes,69.7271,30.0458,1.4,85,90,5.75,NO,1613183102
atambua,-9.1061,124.8925,83.1,71,63,1.92,ID,1613182875
alta floresta,-9.8756,-56.0861,72.34,97,100,3.94,BR,1613183102
bilibino,68.0546,166.4372,-16.69,83,34,2.06,RU,1613183102
nouakchott,18.0858,-15.9785,68.0,15,0,13.8,MR,1613183039
walvis bay,-22.9575,14.5053,70.0,88,31,6.91,NA,1613183103
ulaangom,49.9811,92.0667,-9.06,82,12,1.07,MN,1613183103
progreso,21.2833,-89.6667,75.99,94,75,5.97,MX,1613183103
nantucket,41.2835,-70.0995,24.8,74,90,5.75,US,1613182894
jabinyanah,35.035,10.9081,51.8,76,0,14.14,TN,1613183103
bend,44.0582,-121.3153,16.0,85,90,6.91,US,1613183103
aksu,41.1231,80.2644,28.42,90,50,0.83,CN,1613183103
raudeberg,61.9875,5.1352,28.99,37,0,12.8,NO,1613183103
port moresby,-9.4431,147.1797,89.6,62,40,14.97,PG,1613183103
athabasca,54.7169,-113.2854,-4.0,77,100,3.44,CA,1613182939
jupiter,26.9342,-80.0942,75.99,94,20,3.44,US,1613183021
shache,38.4167,77.2406,34.0,81,19,4.0,CN,1613182815
hambantota,6.1241,81.1185,75.2,100,0,1.14,LK,1613183104
mbandaka,0.0487,18.2603,76.69,69,51,2.62,CD,1613183104
gao,16.6362,1.637,71.96,18,41,11.01,ML,1613183104
samarai,-10.6167,150.6667,84.29,67,62,10.25,PG,1613183104
gogrial,8.5332,28.1004,70.11,26,0,2.8,SS,1613183104
kattivakkam,13.2167,80.3167,71.6,78,40,2.3,IN,1613183105
saint-francois,46.4154,3.9054,23.0,86,0,3.44,FR,1613183105
san pedro,14.35,121.0167,78.01,94,90,6.91,PH,1613183105
phultala,22.7,89.5167,68.05,39,0,3.13,BD,1613183105
selma,36.5708,-119.6121,57.2,58,90,0.69,US,1613183105
san jose,37.3394,-121.895,55.99,71,75,9.22,US,1613182980
geraldton,-28.7667,114.6,93.2,31,40,21.85,AU,1613183105
landau,49.2075,8.1133,19.0,79,0,8.99,DE,1613183105
sambava,-14.2667,50.1667,74.35,85,100,4.43,MG,1613183105
riyadh,24.6877,46.7219,53.6,50,0,3.02,SA,1613183106
urumqi,43.801,87.6005,10.4,85,35,2.24,CN,1613183106
penzance,50.1186,-5.5371,39.2,75,75,27.63,GB,1613183106
lasa,46.6166,10.7002,10.4,92,90,9.22,IT,1613183106
saint george,37.1041,-113.5841,59.0,36,1,2.93,US,1613182890
hearst,49.6835,-83.6665,-13.0,64,62,3.44,CA,1613183106
padang,-0.9492,100.3543,86.0,66,20,3.44,ID,1613183106
moron,-34.6534,-58.6198,72.0,88,87,9.75,AR,1613183106
kuminskiy,58.6667,66.5667,-4.45,92,100,6.6,RU,1613183106
katsuura,35.1333,140.3,54.0,62,40,5.75,JP,1613183106
raub,3.7899,101.857,77.05,83,86,1.41,MY,1613183107
erdemli,36.605,34.3084,56.05,61,100,7.67,TR,1613183107
emerald,-23.5333,148.1667,89.6,35,48,11.5,AU,1613183107
roald,62.5833,6.1333,28.4,54,0,14.97,NO,1613183107
hamilton,39.1834,-84.5333,27.0,68,90,6.91,US,1613183084
coahuayana,18.7333,-103.6833,66.29,74,31,1.14,MX,1613183107
ust-nera,64.5667,143.2,2.37,83,82,1.74,RU,1613183107
dingli,35.8614,14.3822,57.99,88,0,8.05,MT,1613183107
valdez,1.2492,-78.9831,79.05,79,100,4.27,EC,1613183108
puksoozero,62.5903,40.6066,-13.27,89,20,1.41,RU,1613183108
san juan,-31.5375,-68.5364,75.7,48,100,13.13,AR,1613183037
karratha,-20.7377,116.8463,84.18,59,30,10.09,AU,1613183108
puerto escondido,15.85,-97.0667,78.8,78,40,3.44,MX,1613183108
junction city,39.0286,-96.8314,1.99,60,90,13.8,US,1613183108
necochea,-38.5473,-58.7368,66.99,93,77,1.99,AR,1613183108
kalemie,-5.9475,29.1947,70.09,84,100,3.22,CD,1613183108
ambon,-3.6954,128.1814,84.2,79,40,3.44,ID,1613183108
burgersdorp,-30.9977,26.3286,69.22,40,48,3.53,ZA,1613183109
